Northern Hemisphere Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
196710,0.53
196711,0.11
196712,0.16
196801,-0.50
196802,-0.07
196803,1.23
196804,0.06
196805,-0.08
196806,-0.25
196807,-0.24
196808,-0.24
196809,-0.20
196810,-0.20
196811,-0.34
196812,-0.63
196901,-1.63
196902,-1.36
196903,-0.19
196904,-0.01
196905,-0.12
196906,-0.16
196907,-0.03
196908,-0.07
196909,-0.10
196910,-0.16
196911,0.45
196912,0.61
197001,0.00
197002,0.60
197003,-0.29
197004,0.10
197005,-0.06
197006,0.03
197007,0.08
197008,0.00
197009,-0.05
197010,-0.40
197011,0.00
197012,-0.35
197101,0.16
197102,-0.46
197103,-0.27
197104,-0.15
197105,-0.02
197106,-0.05
197107,-0.16
197108,-0.08
197109,0.04
197110,0.00
197111,0.65
197112,0.25
197201,-1.17
197202,-1.01
197203,0.08
197204,0.05
197205,-0.22
197206,-0.09
197207,-0.15
197208,-0.04
197209,-0.47
197210,-0.19
197211,-0.43
197212,-0.11
197301,0.08
197302,0.91
197303,0.80
197304,0.44
197305,0.30
197306,0.38
197307,0.15
197308,0.17
197309,0.04
197310,0.02
197311,0.06
197312,0.48
197401,-0.76
197402,-0.72
197403,0.17
197404,0.18
197405,-0.09
197406,-0.08
197407,0.00
197408,-0.10
197409,-0.11
197410,-0.35
197411,-0.22
197412,-0.33
197501,0.58
197502,0.19
197503,0.62
197504,0.39
197505,0.21
197506,0.14
197507,0.04
197508,-0.08
197509,0.18
197510,-0.04
197511,-0.20
197512,0.15
197601,0.54
197602,-0.16
197603,-0.77
197604,0.25
197605,-0.14
197606,-0.25
197607,-0.35
197608,-0.22
197609,0.01
197610,-1.03
197611,-0.55
197612,-0.34
197701,-0.79
197702,0.32
197703,0.86
197704,0.71
197705,0.54
197706,0.50
197707,0.10
197708,-0.06
197709,0.15
197710,-0.27
197711,0.65
197712,-0.03
197801,0.21
197802,0.15
197803,0.48
197804,0.39
197805,-0.05
197806,-0.14
197807,-0.27
197808,-0.31
197809,0.02
197810,0.06
197811,0.40
197812,0.06
197901,-0.23
197902,-0.33
197903,0.31
197904,-0.39
197905,0.11
197906,0.11
197907,0.05
197908,-0.04
197909,0.23
197910,0.32
197911,0.21
197912,1.16
198001,0.13
198002,0.47
198003,-0.26
198004,0.35
198005,0.39
198006,0.26
198007,0.18
198008,0.12
198009,0.13
198010,0.21
198011,0.76
198012,0.38
198101,1.55
198102,1.15
198103,1.31
198104,0.75
198105,0.24
198106,0.41
198107,0.19
198108,0.33
198109,0.12
198110,0.10
198111,0.32
198112,1.11
198201,-0.30
198202,0.14
198203,-0.24
198204,0.40
198205,0.09
198206,-0.03
198207,0.15
198208,-0.06
198209,0.21
198210,-0.08
198211,-0.41
198212,0.76
198301,0.94
198302,0.77
198303,0.56
198304,0.07
198305,0.11
198306,0.12
198307,0.38
198308,0.59
198309,0.44
198310,0.21
198311,1.26
198312,0.29
198401,0.50
198402,-0.14
198403,0.54
198404,0.07
198405,0.58
198406,0.09
198407,-0.01
198408,0.17
198409,-0.16
198410,-0.10
198411,-0.36
198412,-1.05
198501,0.28
198502,-0.62
198503,0.16
198504,0.30
198505,0.26
198506,0.09
198507,-0.21
198508,0.09
198509,-0.13
198510,-0.05
198511,-0.14
198512,0.22
198601,0.94
198602,0.56
198603,0.67
198604,0.47
198605,0.29
198606,0.25
198607,-0.03
198608,0.09
198609,-0.05
198610,0.09
198611,-0.14
198612,0.08
198701,0.45
198702,1.40
198703,-0.02
198704,0.09
198705,0.42
198706,0.16
198707,0.40
198708,0.35
198709,0.51
198710,0.01
198711,-0.19
198712,1.05
198801,0.80
198802,0.32
198803,0.71
198804,0.76
198805,0.58
198806,0.73
198807,0.64
198808,0.38
198809,0.49
198810,0.37
198811,0.47
198812,1.09
198901,0.25
198902,0.55
198903,0.86
198904,0.36
198905,0.41
198906,0.22
198907,0.38
198908,0.26
198909,0.27
198910,0.40
198911,0.14
198912,0.82
199001,0.59
199002,0.77
199003,2.06
199004,0.87
199005,0.60
199006,0.65
199007,0.22
199008,0.43
199009,0.44
199010,0.57
199011,0.79
199012,0.70
199101,0.80
199102,0.92
199103,0.38
199104,0.91
199105,0.37
199106,0.63
199107,0.47
199108,0.40
199109,0.46
199110,0.39
199111,0.40
199112,0.26
199201,1.22
199202,0.90
199203,0.70
199204,0.11
199205,0.14
199206,-0.12
199207,-0.31
199208,-0.14
199209,-0.41
199210,-0.21
199211,-0.13
199212,0.55
199301,0.78
199302,0.93
199303,0.94
199304,0.26
199305,0.32
199306,0.27
199307,0.15
199308,0.13
199309,-0.11
199310,0.16
199311,-0.61
199312,0.62
199401,0.52
199402,-0.44
199403,0.95
199404,0.64
199405,0.66
199406,0.68
199407,0.35
199408,0.36
199409,0.40
199410,0.72
199411,0.78
199412,0.41
199501,1.23
199502,2.05
199503,0.99
199504,0.77
199505,0.52
199506,0.82
199507,0.42
199508,0.78
199509,0.59
199510,0.86
199511,0.80
199512,0.59
199601,0.14
199602,0.94
199603,0.27
199604,-0.03
199605,0.57
199606,0.31
199607,0.49
199608,0.18
199609,-0.03
199610,-0.06
199611,0.26
