Asia Temperature Anomalies
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
192205,-0.19
192206,0.13
192207,0.37
192208,-0.29
192209,-0.56
192210,-0.34
192211,-0.13
192212,0.71
192301,-0.38
192302,-1.07
192303,0.13
192304,-1.35
192305,-0.61
192306,0.06
192307,-0.29
192308,0.13
192309,-0.18
192310,0.15
192311,-0.03
192312,0.38
192401,-0.48
192402,-0.83
192403,-0.56
192404,-0.27
192405,-0.39
192406,-0.33
192407,0.20
192408,0.06
192409,0.06
192410,-0.46
192411,0.87
192412,0.64
192501,0.88
192502,-0.80
192503,-0.14
192504,-0.39
192505,-0.39
192506,-0.47
192507,-0.35
192508,-0.02
192509,0.22
192510,0.60
192511,0.88
192512,0.96
192601,0.87
192602,-0.10
192603,1.06
192604,-1.15
192605,-0.64
192606,-0.17
192607,-0.47
192608,0.15
192609,0.06
192610,-0.26
192611,0.06
192612,-0.57
192701,-1.70
192702,-0.67
192703,-1.83
192704,-0.42
192705,0.05
192706,0.06
192707,0.20
192708,-0.16
192709,0.48
192710,0.61
192711,0.36
192712,-0.62
192801,-0.51
192802,-0.39
192803,-1.39
192804,-0.44
192805,-0.13
192806,-0.35
192807,-0.29
192808,-0.07
192809,-0.21
192810,-0.12
192811,-0.33
192812,-0.56
192901,-1.99
192902,-2.28
192903,0.07
192904,-0.20
192905,-0.18
192906,-0.36
192907,-0.43
192908,-0.29
192909,-0.28
192910,-0.04
192911,0.41
192912,-3.05
193001,-0.87
193002,-1.00
193003,0.68
193004,-1.11
193005,-0.26
193006,-0.40
193007,-0.02
193008,0.11
193009,-0.67
193010,-0.03
193011,0.67
193012,-1.08
193101,-1.50
193102,-3.53
193103,-0.05
193104,-0.82
193105,-0.83
193106,0.06
193107,0.04
193108,0.44
193109,0.48
193110,0.67
193111,-0.16
193112,-0.13
193201,2.13
193202,-0.44
193203,-0.35
193204,0.56
193205,-0.52
193206,-0.25
193207,0.18
193208,-0.26
193209,0.46
193210,0.70
193211,-0.04
193212,-0.24
193301,-2.10
193302,-1.52
193303,-1.46
193304,-0.49
193305,-0.63
193306,-0.63
193307,0.11
193308,-0.10
193309,-0.50
193310,-0.22
193311,0.12
193312,-0.19
193401,-0.88
193402,1.74
193403,-0.99
193404,-1.60
193405,0.10
193406,-0.32
193407,-0.52
193408,-0.14
193409,-0.82
193410,-0.22
193411,0.28
193412,0.30
193501,-0.77
193502,2.25
193503,0.42
193504,-1.03
193505,-0.31
193506,-0.29
193507,-0.19
193508,0.23
193509,0.02
193510,0.56
193511,-1.48
193512,-1.37
193601,-1.23
193602,-0.51
193603,-1.51
193604,-0.67
193605,-0.34
193606,-0.21
193607,-0.04
193608,-0.25
193609,0.22
193610,0.76
193611,0.49
193612,0.98
193701,-0.43
193702,0.45
193703,-1.69
193704,-0.91
193705,-0.25
193706,0.02
193707,-0.08
193708,-0.06
193709,0.40
193710,0.51
193711,-0.32
193712,-0.78
193801,-0.10
193802,0.54
193803,0.48
193804,1.54
193805,0.41
193806,-0.50
193807,0.07
193808,0.35
193809,0.12
193810,0.02
193811,0.88
193812,-1.74
193901,-0.57
193902,1.36
193903,-0.05
193904,-0.21
193905,0.08
193906,0.37
193907,0.07
193908,0.14
193909,-0.09
193910,-0.35
193911,0.22
193912,1.95
194001,-1.60
194002,0.07
194003,0.09
194004,0.46
194005,-0.47
194006,0.05
194007,0.17
194008,0.00
194009,0.02
194010,-0.44
194011,0.50
194012,0.53
194101,-0.28
194102,-0.21
194103,-0.23
194104,-0.59
194105,-0.08
194106,0.24
194107,-0.16
194108,0.11
194109,-0.09
194110,0.41
194111,-0.62
194112,-0.85
194201,0.02
194202,-1.44
194203,-0.48
194204,-0.60
194205,-0.39
194206,0.23
194207,0.00
194208,-0.32
194209,-0.07
194210,0.05
194211,0.73
194212,0.87
194301,-0.70
194302,0.34
194303,0.35
194304,0.45
194305,1.03
194306,-0.35
194307,0.11
194308,0.12
194309,0.20
194310,0.25
194311,-0.27
194312,0.84
194401,1.13
194402,1.04
194403,1.74
194404,0.12
194405,0.29
194406,0.10
194407,0.24
194408,-0.17
194409,0.53
194410,0.13
194411,-1.01
194412,-1.59
194501,-1.30
194502,-2.37
194503,-1.15
194504,0.68
194505,0.09
194506,0.12
194507,-0.37
194508,0.40
194509,0.35
194510,0.49
194511,0.26
194512,-1.15
194601,0.64
194602,1.52
194603,-1.22
194604,0.78
194605,-0.27
194606,-0.23
194607,0.02
194608,0.14
194609,-0.36
194610,0.17
194611,0.11
194612,-1.74
194701,-1.24
194702,-0.92
194703,0.56
194704,1.02
194705,0.01
194706,-0.23
194707,-0.38
194708,-0.19
194709,0.15
194710,0.51
194711,0.26
194712,-1.07
194801,1.45
194802,0.44
194803,0.39
194804,0.65
194805,0.32
194806,0.25
194807,0.17
194808,0.08
194809,-0.02
194810,0.29
194811,0.34
194812,-0.01
194901,1.80
194902,0.69
194903,-0.74
194904,0.16
194905,0.36
194906,-0.32
194907,-0.37
194908,0.05
194909,-0.44
194910,0.24
194911,-1.00
194912,-1.34
195001,-0.88
195002,-0.68
195003,0.23
195004,-0.27
195005,0.10
195006,-0.24
195007,-0.37
195008,-0.29
195009,-0.13
195010,-0.17
195011,-1.67
195012,-0.76
195101,-1.18
195102,-2.58
195103,-0.41
195104,0.18
195105,0.32
195106,-0.24
195107,-0.04
195108,0.16
195109,0.56
195110,0.78
195111,0.22
195112,2.70
195201,0.80
195202,-0.23
195203,-0.99
195204,-0.42
195205,-0.13
195206,0.04
195207,0.30
195208,0.04
195209,0.45
195210,-0.73
195211,-2.42
195212,-1.48
195301,-0.03
195302,0.21
195303,0.91
195304,0.51
195305,0.42
195306,0.40
195307,0.40
195308,0.27
195309,0.23
195310,0.00
195311,-1.64
195312,0.65
195401,-0.88
195402,-1.30
195403,-0.91
195404,-0.09
195405,-0.70
195406,0.01
195407,0.07
195408,0.29
195409,0.27
195410,0.25
195411,0.19
195412,-1.37
195501,0.80
195502,0.09
195503,-1.15
195504,-1.10
195505,0.09
195506,0.19
195507,-0.28
195508,0.29
195509,0.05
195510,0.26
195511,0.40
195512,-0.35
195601,-0.99
195602,-1.20
195603,-0.74
195604,-0.48
195605,-0.31
195606,-0.20
195607,-0.21
195608,-0.30
195609,-0.42
195610,-0.24
195611,-0.62
195612,-0.41
195701,-0.18
195702,-1.29
195703,-1.37
195704,-0.75
195705,-0.09
195706,0.00
195707,-0.43
195708,-0.11
195709,0.21
195710,-0.21
195711,-0.06
195712,1.09
195801,0.56
195802,0.86
195803,-0.41
195804,-0.41
195805,-0.58
195806,-0.21
195807,-0.19
195808,-0.19
195809,-0.61
195810,-0.21
195811,0.22
195812,0.39
195901,0.57
195902,0.34
195903,1.23
195904,0.35
195905,-0.33
195906,0.13
195907,-0.33
195908,0.29
195909,0.50
195910,-0.16
195911,-0.94
195912,-1.11
196001,-0.39
196002,1.53
196003,-1.32
196004,-0.58
196005,-1.01
196006,0.19
196007,-0.25
196008,-0.17
196009,0.13
196010,-0.74
196011,-1.03
196012,0.73
196101,0.47
196102,0.90
196103,1.22
196104,0.34
196105,0.18
196106,-0.11
196107,0.06
196108,-0.02
196109,0.09
196110,-0.85
196111,0.14
196112,0.30
196201,1.29
196202,1.85
196203,0.97
196204,0.48
196205,0.52
196206,-0.32
196207,0.43
196208,-0.20
196209,-0.02
196210,-0.29
196211,-0.74
196212,0.58
196301,0.81
196302,2.18
196303,0.37
196304,-0.74
196305,-0.14
196306,-0.30
196307,0.09
196308,0.11
196309,0.21
196310,0.64
196311,1.09
196312,0.39
196401,0.07
196402,-1.51
196403,-0.26
196404,-0.93
196405,-0.22
196406,-0.25
196407,-0.14
196408,0.00
196409,-0.17
196410,-0.81
196411,0.18
196412,0.23
196501,0.44
196502,-0.45
196503,0.48
196504,-0.83
196505,-0.02
196506,-0.05
196507,-0.09
196508,-0.37
196509,0.07
196510,0.37
196511,-0.72
196512,-0.39
196601,0.30
196602,-0.14
196603,0.13
196604,-0.77
196605,-0.01
196606,0.08
196607,-0.08
196608,0.38
196609,0.26
196610,-0.28
196611,-0.38
196612,-1.58
196701,-0.55
196702,-0.49
196703,0.87
196704,0.57
196705,0.83
196706,-0.16
196707,0.15
196708,-0.07
196709,-0.54
196710,1.00
196711,-0.02
196712,0.24
196801,-0.41
196802,-0.41
196803,2.10
196804,0.09
196805,0.20
196806,-0.34
196807,-0.22
196808,-0.29
196809,-0.64
196810,-0.70
196811,-0.87
196812,-1.08
196901,-3.29
196902,-3.86
196903,-0.48
196904,-0.35
196905,-0.75
196906,-0.41
196907,0.06
196908,-0.49
196909,-0.41
196910,-0.15
196911,0.59
196912,0.21
197001,-0.23
197002,0.71
197003,-0.72
197004,0.46
197005,0.03
197006,-0.35
197007,0.08
197008,-0.19
197009,0.17
197010,-0.41
197011,0.00
197012,-0.19
197101,1.02
197102,-1.28
197103,-0.44
197104,-0.18
197105,-0.08
197106,-0.16
197107,-0.15
197108,-0.26
197109,0.26
197110,0.15
197111,1.89
197112,1.07
197201,-1.64
197202,-1.47
197203,0.10
197204,0.50
197205,-0.34
197206,-0.01
197207,-0.36
197208,-0.23
197209,-0.67
197210,-0.05
197211,-0.30
197212,0.52
197301,-0.32
197302,1.54
197303,0.81
197304,0.92
197305,0.12
197306,0.41
197307,-0.14
197308,0.04
197309,-0.17
197310,-0.37
197311,1.01
197312,1.15
197401,-1.06
197402,-1.52
197403,0.40
197404,0.57
197405,0.06
197406,-0.26
197407,0.30
197408,0.00
197409,0.34
197410,-0.27
197411,-0.54
197412,-0.95
197501,1.51
197502,0.42
197503,1.69
197504,1.16
197505,0.22
197506,0.31
197507,0.04
197508,-0.04
197509,0.67
197510,0.03
197511,-0.04
197512,0.50
197601,1.35
197602,-0.44
197603,-1.05
197604,0.07
197605,-0.11
197606,-0.30
197607,-0.53
197608,-0.25
197609,-0.06
197610,-1.70
197611,-1.13
197612,-0.68
197701,-2.45
197702,-1.04
197703,1.19
197704,0.96
197705,0.48
197706,0.73
197707,0.03
197708,-0.16
197709,0.16
197710,-0.69
197711,1.51
197712,0.40
197801,0.53
197802,-0.30
197803,0.79
197804,0.63
197805,-0.14
197806,-0.07
197807,-0.25
197808,-0.54
197809,0.15
197810,0.15
197811,1.45
197812,0.00
197901,-0.44
197902,0.97
197903,0.16
197904,-0.72
197905,0.31
197906,0.08
197907,-0.05
197908,-0.26
197909,0.13
197910,0.22
197911,0.07
197912,1.77
198001,-0.43
198002,-0.02
198003,-0.85
198004,-0.10
198005,0.28
198006,0.22
198007,0.09
198008,-0.16
198009,0.06
198010,0.14
198011,1.25
198012,1.57
198101,1.60
198102,1.21
198103,1.08
198104,0.94
198105,0.22
198106,0.53
198107,0.30
198108,0.37
198109,0.05
198110,-0.14
198111,-0.15
198112,1.50
198201,0.45
198202,0.64
198203,-0.54
198204,1.26
198205,0.34
198206,-0.06
198207,0.01
198208,-0.12
198209,0.01
198210,-0.23
198211,0.20
198212,1.27
198301,1.87
198302,0.87
198303,0.85
198304,-0.06
198305,0.00
198306,-0.09
198307,0.17
198308,0.32
198309,0.48
198310,0.39
198311,1.73
198312,1.73
198401,0.89
198402,-1.20
198403,0.70
198404,-0.53
198405,0.92
198406,0.20
198407,0.01
198408,-0.10
198409,-0.15
198410,-0.34
198411,-0.74
198412,-1.91
198501,-0.25
198502,-0.57
198503,-0.47
198504,0.66
198505,-0.02
198506,0.08
198507,-0.42
198508,0.21
198509,-0.03
198510,-0.03
198511,0.37
198512,0.22
198601,0.92
198602,0.27
198603,0.58
198604,0.42
198605,0.04
198606,0.25
198607,-0.05
198608,-0.09
198609,0.06
198610,0.08
198611,0.53
198612,-0.25
198701,-0.02
198702,1.53
198703,-0.35
198704,-0.65
198705,0.21
198706,-0.22
198707,0.00
198708,0.40
198709,0.12
198710,-0.45
198711,-1.37
198712,0.59
198801,1.20
198802,-0.18
198803,0.33
198804,0.60
198805,0.21
198806,0.69
198807,0.67
198808,0.31
198809,0.82
198810,0.72
198811,1.19
198812,2.39
198901,0.73
198902,1.58
198903,2.02
198904,-0.02
198905,0.50
198906,0.20
198907,0.26
198908,0.08
198909,0.06
198910,0.70
198911,0.55
198912,1.86
199001,-0.02
199002,1.71
199003,2.95
199004,0.81
199005,0.78
199006,0.52
199007,0.22
199008,0.31
199009,0.19
199010,0.86
199011,1.28
199012,1.61
199101,1.45
199102,0.63
199103,-0.25
199104,1.14
199105,0.57
199106,0.82
199107,0.50
199108,0.16
199109,0.48
199110,0.98
199111,1.20
199112,0.29
199201,1.70
199202,1.41
199203,0.37
199204,-0.04
199205,0.27
199206,-0.39
199207,-0.33
199208,-0.31
199209,-0.47
199210,-0.32
199211,-0.13
199212,1.42
199301,1.44
199302,2.31
199303,1.33
199304,-0.02
199305,-0.16
199306,0.21
199307,0.25
199308,-0.07
199309,-0.25
199310,0.02
199311,-1.36
199312,0.21
199401,1.03
199402,-0.26
199403,0.68
199404,0.69
199405,0.60
199406,0.80
199407,0.09
199408,0.28
199409,0.22
199410,0.92
199411,1.30
199412,0.12
199501,1.82
199502,3.21
199503,1.41
199504,1.28
199505,0.57
199506,0.75
199507,0.29
199508,0.71
199509,0.55
199510,1.20
199511,2.00
199512,0.97
199601,0.07
199602,0.80
199603,0.44
199604,-0.45
199605,0.71
199606,0.26
199607,0.66
199608,-0.25
199609,-0.14
199610,0.08
199611,0.77
199612,0.89
199701,0.83
199702,1.21
199703,2.06
199704,1.89
199705,0.79
199706,0.51
199707,0.14
199708,0.46
199709,0.18
199710,1.36
199711,0.17
199712,-0.14
199801,0.14
199802,1.56
199803,1.08
199804,0.80
199805,0.53
199806,1.03
199807,1.17
199808,1.23
199809,0.59
199810,0.75
199811,-0.57
199812,1.86
199901,1.36
199902,3.22
199903,-0.99
199904,1.02
199905,0.68
199906,0.29
199907,0.90
199908,0.41
199909,0.51
199910,1.10
199911,0.40
199912,2.21
200001,0.41
200002,1.53
200003,1.50
200004,2.28
200005,1.11
200006,1.03
200007,0.80
200008,0.89
200009,0.52
200010,-0.23
200011,-0.90
200012,0.27
200101,-0.12
200102,0.57
200103,1.74
200104,1.26
200105,1.68
200106,0.95
200107,0.76
200108,0.88
200109,0.56
200110,0.64
200111,2.27
200112,0.49
200201,2.94
200202,3.81
200203,3.47
200204,0.78
200205,0.81
200206,0.78
200207,0.98
200208,0.62
200209,0.68
200210,0.43
200211,0.92
200212,-1.33
200301,1.54
200302,1.67
200303,1.24
200304,0.83
200305,0.83
200306,0.46
200307,0.43
200308,0.93
200309,0.96
200310,1.30
200311,0.34
200312,2.28
200401,1.83
200402,2.44
200403,1.97
200404,0.77
200405,1.00
200406,0.73
200407,0.47
200408,0.34
200409,0.88
200410,0.58
200411,2.37
200412,0.23
200501,1.56
200502,-0.62
200503,1.52
200504,1.32
200505,1.03
200506,1.23
200507,1.06
200508,0.71
200509,1.55
200510,1.62
200511,2.34
200512,0.94
200601,-1.17
200602,1.59
200603,1.71
200604,0.17
200605,0.88
200606,1.36
200607,0.48
200608,0.81
200609,1.05
200610,1.27
200611,1.48
200612,2.08
200701,3.57
200702,1.85
200703,1.65
200704,2.25
200705,1.47
200706,0.75
200707,0.93
200708,1.38
200709,1.29
200710,1.09
200711,1.74
200712,2.06
200801,-0.64
200802,1.06
200803,4.26
200804,1.42
200805,1.13
200806,1.01
200807,0.97
200808,0.77
200809,0.61
200810,1.91
200811,2.13
200812,1.67
200901,1.44
200902,1.30
200903,1.79
200904,1.43
200905,0.95
200906,0.71
200907,0.52
200908,0.68
200909,1.24
200910,1.32
200911,0.23
200912,-0.10
201001,0.18
201002,-0.24
201003,1.14
201004,0.72
201005,1.48
201006,1.49
201007,1.37
201008,1.24
201009,0.93
201010,1.36
201011,2.59
201012,0.24
201101,-0.32
201102,0.71
201103,1.35
201104,2.05
201105,1.29
201106,1.43
201107,0.93
201108,0.92
201109,0.75
201110,1.86
201111,0.78
201112,1.14
201201,-0.05
201202,-0.50
201203,0.53
201204,2.33
201205,1.84
201206,1.79
201207,1.33
201208,0.86
201209,1.16
201210,1.14
201211,1.01
201212,-0.88
201301,0.64
201302,1.52
201303,1.33
201304,1.26
201305,1.38
201306,1.00
201307,0.76
201308,0.98
201309,0.62
201310,0.82
201311,2.99
201312,2.70
201401,0.79
201402,-0.19
201403,2.83
201404,2.11
201405,1.29
201406,1.05
201407,0.41
201408,1.08
201409,0.50
201410,0.24
201411,0.85
201412,1.49
201501,2.42
201502,3.31
201503,2.42
201504,1.54
201505,1.63
201506,1.35
201507,0.82
201508,0.95
201509,1.05
201510,1.13
201511,1.10
201512,2.82
201601,1.20
201602,3.40
201603,3.54
201604,2.58
201605,1.27
201606,1.33
201607,1.28
201608,1.60
201609,1.78
201610,0.00
201611,-0.44
201612,1.82
201701,2.09
201702,2.38
201703,2.97
201704,1.99
201705,1.30
201706,1.23
201707,1.16
201708,1.28
201709,1.06
201710,0.89
201711,1.73
201712,2.25
201801,1.03
201802,1.55
201803,2.33
201804,1.71
201805,1.00
201806,1.30
201807,1.17
201808,1.15
201809,1.17
201810,1.83
201811,0.97
201812,0.77
201901,2.38
201902,1.90
201903,3.14
201904,1.92
201905,1.22
201906,1.29
201907,1.04
201908,0.98
201909,1.32
201910,1.81
201911,0.89
201912,2.07
202001,3.45
202002,4.10
202003,3.58
202004,2.31
202005,2.11
202006,1.10
202007,1.31
202008,1.10
202009,1.58
202010,1.29
202011,2.25
202012,0.49
202101,0.32
202102,1.93
202103,2.52
202104,1.73
202105,1.90
202106,1.52
202107,1.61
202108,1.56
