Southern Hemisphere Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
195805,0.49
195806,0.21
195807,0.58
195808,-0.20
195809,-0.16
195810,0.05
195811,0.20
195812,-0.12
195901,0.01
195902,0.20
195903,0.24
195904,0.27
195905,0.05
195906,0.22
195907,0.50
195908,0.00
195909,0.06
195910,0.13
195911,0.23
195912,-0.08
196001,0.15
196002,-0.04
196003,-0.13
196004,-0.16
196005,-0.73
196006,-0.15
196007,-0.14
196008,-0.08
196009,-0.06
196010,0.22
196011,-0.15
196012,0.16
196101,0.12
196102,0.03
196103,0.22
196104,0.37
196105,0.42
196106,0.07
196107,0.10
196108,0.11
196109,0.47
196110,0.44
196111,0.09
196112,-0.03
196201,-0.13
196202,0.05
196203,0.10
196204,-0.06
196205,-0.46
196206,0.22
196207,-0.26
196208,-0.05
196209,0.22
196210,-0.03
196211,0.40
196212,0.06
196301,-0.17
196302,-0.04
196303,0.06
196304,-0.08
196305,-0.10
196306,-0.04
196307,0.18
196308,0.25
196309,0.33
196310,0.29
196311,-0.10
196312,0.07
196401,0.09
196402,0.11
196403,0.20
196404,0.12
196405,-0.06
196406,-0.31
196407,-0.26
196408,-0.06
196409,-0.12
196410,-0.61
196411,-0.40
196412,-0.59
196501,-0.15
196502,0.42
196503,-0.23
196504,-0.23
196505,0.02
196506,0.38
196507,-0.19
196508,0.27
196509,0.15
196510,0.08
196511,0.02
196512,0.06
196601,0.20
196602,-0.17
196603,0.12
196604,0.13
196605,0.00
196606,0.43
196607,0.15
196608,-0.33
196609,-0.24
196610,-0.24
196611,0.10
196612,-0.15
196701,0.04
196702,-0.17
196703,-0.39
196704,0.26
196705,0.59
196706,-0.28
196707,-0.22
196708,-0.10
196709,0.05
196710,0.49
196711,0.03
196712,-0.04
196801,0.05
196802,-0.07
196803,-0.11
196804,-0.30
196805,-0.59
196806,-0.18
196807,0.06
196808,-0.03
196809,-0.26
196810,0.11
196811,0.15
196812,-0.10
196901,0.46
196902,0.37
196903,0.32
196904,0.39
196905,0.46
196906,0.27
196907,0.47
196908,0.18
196909,0.01
196910,0.25
196911,0.28
196912,0.09
197001,0.26
197002,0.47
197003,0.29
197004,0.49
197005,0.19
197006,0.40
197007,0.11
197008,-0.07
197009,0.24
197010,0.26
197011,-0.07
197012,0.07
197101,-0.02
197102,-0.16
197103,0.20
197104,-0.17
197105,-0.29
197106,-0.48
197107,0.15
197108,0.06
197109,0.27
197110,-0.12
197111,-0.34
197112,-0.10
197201,-0.17
197202,-0.13
197203,-0.17
197204,-0.07
197205,0.34
197206,0.47
197207,0.17
197208,0.27
197209,0.42
197210,0.24
197211,0.27
197212,0.81
197301,0.82
197302,0.54
197303,0.74
197304,0.68
197305,0.49
197306,0.67
197307,0.43
197308,0.07
197309,0.10
197310,0.25
197311,-0.11
197312,-0.26
197401,-0.28
197402,-0.47
197403,-0.12
197404,-0.17
197405,0.03
197406,-0.10
197407,0.19
197408,0.08
197409,-0.34
197410,-0.16
197411,-0.26
197412,-0.27
197501,-0.15
197502,-0.03
197503,-0.10
197504,0.03
197505,0.26
197506,0.33
197507,0.20
197508,-0.14
197509,0.29
197510,-0.35
197511,-0.10
197512,-0.14
197601,-0.47
197602,-0.35
197603,-0.40
197604,-0.29
197605,-0.23
197606,-0.16
197607,0.06
197608,-0.17
197609,-0.21
197610,-0.34
197611,-0.15
197612,0.37
197701,0.30
197702,0.28
197703,0.16
197704,0.22
197705,0.09
197706,0.31
197707,0.49
197708,0.50
197709,0.19
197710,0.53
197711,0.33
197712,0.30
197801,0.04
197802,0.33
197803,0.44
197804,0.05
197805,0.27
