year,month,temperature
1945,02,-0.2
1945,03,0.06
1945,04,0.26
1945,05,-0.27
1945,06,-0.21
1945,07,0.0
1945,08,0.79
1945,09,0.27
1945,10,0.27
1945,11,0.01
1945,12,-0.2
1946,01,-0.28
1946,02,0.19
1946,03,-0.26
1946,04,-0.06
1946,05,0.0
1946,06,-0.32
1946,07,-0.26
1946,08,0.16
1946,09,0.32
1946,10,-0.02
1946,11,0.27
1946,12,-0.22
1947,01,0.07
1947,02,0.08
1947,03,-0.03
1947,04,-0.03
1947,05,0.03
1947,06,0.47
1947,07,-0.51
1947,08,-0.53
1947,09,-0.25
1947,10,-0.25
1947,11,-0.07
1947,12,-0.23
1948,01,0.04
1948,02,-0.1
1948,03,-0.38
1948,04,-0.19
1948,05,0.03
1948,06,0.32
1948,07,0.2
1948,08,-0.33
1948,09,0.25
1948,10,-0.11
1948,11,-0.06
1948,12,0.12
1949,01,-0.16
1949,02,-0.19
1949,03,0.02
1949,04,-0.08
1949,05,-0.15
1949,06,0.07
1949,07,-0.36
1949,08,-0.29
1949,09,-0.32
1949,10,-0.77
1949,11,-0.11
1949,12,-0.2
1950,01,-0.34
1950,02,-0.16
1950,03,-0.42
1950,04,-0.22
1950,05,0.02
1950,06,-0.08
1950,07,-0.18
1950,08,-0.06
1950,09,-0.33
1950,10,-0.64
1950,11,-0.45
1950,12,-0.19
1951,01,-0.35
1951,02,-0.69
1951,03,-0.29
1951,04,-0.82
1951,05,0.28
1951,06,0.36
1951,07,0.44
1951,08,0.12
1951,09,0.21
1951,10,0.19
1951,11,0.09
1951,12,-0.18
1952,01,0.38
1952,02,0.15
1952,03,0.49
1952,04,-0.18
1952,05,0.2
1952,06,-1.01
1952,07,0.1
1952,08,0.03
1952,09,-0.19
1952,10,-0.06
1952,11,-0.21
1952,12,-0.01
1953,01,0.11
1953,02,0.33
1953,03,0.25
1953,04,-0.03
1953,05,0.15
1953,06,0.15
1953,07,-0.74
1953,08,0.74
1953,09,0.85
1953,10,-0.16
1953,11,0.2
1953,12,0.0
1954,01,-0.08
1954,02,0.06
1954,03,0.06
1954,04,-0.24
1954,05,-0.61
1954,06,-0.22
1954,07,-0.56
1954,08,-0.09
1954,09,-0.18
1954,10,-0.36
1954,11,0.11
1954,12,-0.07
1955,01,0.03
1955,02,-0.08
1955,03,-0.55
1955,04,-0.41
1955,05,-0.55
1955,06,-0.1
1955,07,-1.13
1955,08,-0.42
1955,09,-0.24
1955,10,-0.63
1955,11,0.01
1955,12,-0.28
1956,01,-0.71
1956,02,-0.33
1956,03,-0.18
1956,04,-0.75
1956,05,-1.13
1956,06,-0.75
1956,07,-0.19
1956,08,-0.61
1956,09,-0.21
1956,10,-0.37
1956,11,-0.5
1956,12,-0.3
1957,01,-0.27
1957,02,-0.4
1957,03,0.2
1957,04,-0.44
1957,05,0.72
1957,06,0.14
1957,07,-0.27
1957,08,0.17
1957,09,-0.14
1957,10,0.37
1957,11,-0.01
1957,12,0.34
1958,01,0.3
1958,02,0.49
1958,03,0.36
1958,04,0.27
1958,05,0.05
1958,06,0.65
1958,07,1.12
1958,08,-0.4
1958,09,0.23
1958,10,0.25
1958,11,0.02
1958,12,-0.16
1959,01,-0.14
1959,02,0.3
1959,03,0.01
1959,04,-0.02
1959,05,-0.08
1959,06,0.06
1959,07,0.58
1959,08,-0.2
1959,09,0.21
1959,10,0.13
1959,11,-0.11
1959,12,0.1
1960,01,0.18
1960,02,0.16
1960,03,-0.06
1960,04,-0.08
1960,05,-0.5
1960,06,0.01
1960,07,-0.18
1960,08,-0.03
1960,09,0.05
1960,10,0.12
1960,11,0.04
1960,12,0.19
1961,01,0.15
1961,02,0.0
1961,03,0.05
1961,04,0.1
1961,05,0.5
1961,06,-0.22
1961,07,0.04
1961,08,0.76
1961,09,0.36
1961,10,0.35
1961,11,0.27
1961,12,-0.06
1962,01,-0.16
1962,02,0.02
1962,03,0.31
1962,04,-0.13
1962,05,-0.35
1962,06,-0.42
1962,07,-0.91
1962,08,0.0
1962,09,0.39
1962,10,-0.22
1962,11,0.54
1962,12,0.17
1963,01,0.09
1963,02,-0.03
1963,03,0.03
1963,04,0.3
1963,05,-0.05
1963,06,0.01
1963,07,0.51
1963,08,0.52
1963,09,0.32
1963,10,0.51
1963,11,-0.08
1963,12,0.1
1964,01,0.25
1964,02,0.32
1964,03,-0.08
1964,04,0.22
1964,05,0.15
1964,06,-0.58
1964,07,-0.47
1964,08,0.02
1964,09,-0.09
