year,month,temperature
1950,03,0.78
1950,04,1.19
1950,05,0.66
1950,06,0.64
1950,07,0.41
1950,08,0.28
1950,09,0.44
1950,10,-0.26
1950,11,0.4
1950,12,0.21
1951,01,0.37
1951,02,0.66
1951,03,-0.28
1951,04,0.52
1951,05,-0.83
1951,06,-0.11
1951,07,-0.28
1951,08,0.71
1951,09,0.9
1951,10,-0.93
1951,11,0.93
1951,12,0.81
1952,01,0.81
1952,02,0.24
1952,03,-1.76
1952,04,1.25
1952,05,-0.55
1952,06,-0.11
1952,07,0.33
1952,08,0.63
1952,09,-0.69
1952,10,-0.26
1952,11,-0.8
1952,12,-0.29
1953,01,-0.01
1953,02,-0.72
1953,03,0.06
1953,04,0.6
1953,05,0.19
1953,06,0.84
1953,07,0.49
1953,08,0.14
1953,09,0.12
1953,10,0.92
1953,11,-0.48
1953,12,0.46
1954,01,-2.37
1954,02,-3.48
1954,03,0.49
1954,04,-1.32
1954,05,0.13
1954,06,0.82
1954,07,-0.45
1954,08,-0.08
1954,09,0.58
1954,10,0.26
1954,11,0.3
1954,12,1.81
1955,01,0.95
1955,02,0.2
1955,03,-1.31
1955,04,-1.08
1955,05,-0.71
1955,06,-0.55
1955,07,0.3
1955,08,0.38
1955,09,0.73
1955,10,0.52
1955,11,-0.32
1955,12,0.03
1956,01,0.42
1956,02,-5.1
1956,03,-1.5
1956,04,-1.06
1956,05,-0.34
1956,06,-0.28
1956,07,-0.65
1956,08,-0.82
1956,09,-0.43
1956,10,-0.49
1956,11,-2.34
1956,12,-0.28
1957,01,0.04
1957,02,2.25
1957,03,0.59
1957,04,0.29
1957,05,-1.1
1957,06,0.26
1957,07,0.52
1957,08,-0.09
1957,09,-0.16
1957,10,0.2
1957,11,0.44
1957,12,-0.31
1958,01,0.0
1958,02,1.09
1958,03,-2.01
1958,04,-1.43
1958,05,0.92
1958,06,-0.72
1958,07,-0.37
1958,08,0.06
1958,09,0.35
1958,10,0.47
1958,11,0.71
1958,12,0.58
1959,01,0.71
1959,02,0.27
1959,03,1.61
1959,04,0.63
1959,05,0.12
1959,06,0.13
1959,07,1.17
1959,08,0.37
1959,09,-0.81
1959,10,-0.58
1959,11,-0.18
1959,12,0.48
1960,01,-0.08
1960,02,-0.35
1960,03,0.06
1960,04,-0.01
1960,05,0.51
1960,06,0.82
1960,07,-0.25
1960,08,-0.2
1960,09,-0.56
1960,10,0.22
1960,11,1.2
1960,12,1.71
1961,01,0.16
1961,02,2.27
1961,03,1.78
1961,04,1.48
1961,05,-0.16
1961,06,0.99
1961,07,-0.46
1961,08,-0.25
1961,09,0.75
1961,10,1.36
1961,11,0.78
1961,12,-0.39
1962,01,1.34
1962,02,0.13
1962,03,-1.86
1962,04,0.65
1962,05,-0.52
1962,06,-0.79
1962,07,-0.96
1962,08,0.03
1962,09,-0.13
1962,10,0.74
1962,11,0.74
1962,12,-1.62
1963,01,-3.13
1963,02,-2.27
1963,03,-1.93
1963,04,-0.01
1963,05,0.61
1963,06,0.08
1963,07,0.39
1963,08,0.38
1963,09,0.72
1963,10,0.35
1963,11,1.63
1963,12,-1.68
1964,01,-1.01
1964,02,-0.65
1964,03,-1.37
1964,04,0.14
1964,05,0.24
1964,06,1.09
1964,07,0.0
1964,08,-0.79
1964,09,0.01
1964,10,0.2
1964,11,0.34
1964,12,0.21
1965,01,0.63
1965,02,-1.71
1965,03,-0.47
1965,04,-0.81
1965,05,-0.99
1965,06,0.18
1965,07,-1.02
1965,08,-1.04
1965,09,0.11
1965,10,-0.32
1965,11,-1.48
1965,12,0.31
1966,01,-0.82
1966,02,1.19
1966,03,0.03
1966,04,0.54
1966,05,0.2
1966,06,0.53
1966,07,-0.11
1966,08,-0.25
1966,09,-0.24
1966,10,1.49
1966,11,0.22
1966,12,0.38
1967,01,-1.22
1967,02,0.3
1967,03,1.26
1967,04,-0.16
1967,05,0.21
1967,06,-0.59
1967,07,0.27
1967,08,0.28
1967,09,0.73
1967,10,1.54
1967,11,1.03
1967,12,-1.14
1968,01,-1.64
1968,02,0.24
1968,03,0.35
1968,04,1.12
1968,05,0.1
1968,06,0.55
1968,07,-0.61
1968,08,-0.56
1968,09,0.05
1968,10,0.05
1968,11,0.25
1968,12,-0.44
1969,01,-1.03
1969,02,-1.66
1969,03,-1.56
1969,04,-0.61
1969,05,0.43
1969,06,-0.1
1969,07,-0.27
1969,08,0.22
1969,09,-0.08
1969,10,0.41
1969,11,0.64
1969,12,-2.04
1970,01,-0.35
1970,02,-1.05
1970,03,-0.41
1970,04,-0.28
1970,05,-0.4
1970,06,0.77
1970,07,-0.06
1970,08,-0.16
1970,09,-0.06
1970,10,-0.51
1970,11,0.77
1970,12,-0.07
1971,01,0.88
1971,02,0.62
1971,03,-1.51
1971,04,-0.08
1971,05,0.7
1971,06,-0.58
1971,07,-0.08
1971,08,0.44
1971,09,-0.54
1971,10,-0.2
1971,11,-0.67
1971,12,1.01
1972,01,-1.59
1972,02,0.53
1972,03,0.76
1972,04,0.58
1972,05,-0.25
1972,06,0.29
1972,07,0.76
1972,08,-0.09
1972,09,-1.16
1972,10,-0.81
1972,11,0.16
1972,12,0.89
1973,01,0.57
1973,02,1.34
1973,03,0.42
1973,04,-0.45
1973,05,0.3
1973,06,0.23
1973,07,0.4
1973,08,0.06
1973,09,-0.1
1973,10,-0.8
1973,11,-1.38
1973,12,-1.05
1974,01,1.11
1974,02,2.21
1974,03,1.39
1974,04,-0.41
1974,05,-0.76
1974,06,-0.4
1974,07,-0.76
1974,08,0.07
1974,09,0.2
1974,10,-0.67
1974,11,0.21
1974,12,1.67
1975,01,2.49
1975,02,1.19
1975,03,1.22
1975,04,0.38
1975,05,0.58
1975,06,-0.14
1975,07,0.32
1975,08,0.55
1975,09,1.15
1975,10,-0.13
1975,11,-0.49
1975,12,-0.04
1976,01,-0.3
1976,02,-0.88
1976,03,-1.35
1976,04,-0.15
1976,05,-0.12
1976,06,-0.14
1976,07,0.02
1976,08,-0.83
1976,09,-0.97
1976,10,-0.61
1976,11,0.23
1976,12,-0.36
1977,01,-0.08
1977,02,1.69
1977,03,1.54
1977,04,-0.57
1977,05,-0.23
1977,06,-0.37
1977,07,-0.81
1977,08,-0.78
1977,09,-1.07
1977,10,0.03
1977,11,0.99
1977,12,-0.21
1978,01,0.33
1978,02,-0.51
1978,03,0.94
1978,04,-0.73
1978,05,-0.78
1978,06,-0.66
1978,07,-1.04
