year,month,temperature
1942,10,0.05
1942,11,0.73
1942,12,0.87
1943,01,-0.7
1943,02,0.34
1943,03,0.35
1943,04,0.45
1943,05,1.03
1943,06,-0.35
1943,07,0.11
1943,08,0.12
1943,09,0.2
1943,10,0.25
1943,11,-0.27
1943,12,0.84
1944,01,1.13
1944,02,1.04
1944,03,1.74
1944,04,0.12
1944,05,0.29
1944,06,0.1
1944,07,0.24
1944,08,-0.17
1944,09,0.53
1944,10,0.13
1944,11,-1.01
1944,12,-1.59
1945,01,-1.3
1945,02,-2.37
1945,03,-1.15
1945,04,0.68
1945,05,0.09
1945,06,0.12
1945,07,-0.37
1945,08,0.4
1945,09,0.35
1945,10,0.49
1945,11,0.26
1945,12,-1.15
1946,01,0.64
1946,02,1.52
1946,03,-1.22
1946,04,0.78
1946,05,-0.27
1946,06,-0.23
1946,07,0.02
1946,08,0.14
1946,09,-0.36
1946,10,0.17
1946,11,0.11
1946,12,-1.74
1947,01,-1.24
1947,02,-0.92
1947,03,0.56
1947,04,1.02
1947,05,0.01
1947,06,-0.23
1947,07,-0.38
1947,08,-0.19
1947,09,0.15
1947,10,0.51
1947,11,0.26
1947,12,-1.07
1948,01,1.45
1948,02,0.44
1948,03,0.39
1948,04,0.65
1948,05,0.32
1948,06,0.25
1948,07,0.17
1948,08,0.08
1948,09,-0.02
1948,10,0.29
1948,11,0.34
1948,12,-0.01
1949,01,1.8
1949,02,0.69
1949,03,-0.74
1949,04,0.16
1949,05,0.36
1949,06,-0.32
1949,07,-0.37
1949,08,0.05
1949,09,-0.44
1949,10,0.24
1949,11,-1.0
1949,12,-1.34
1950,01,-0.88
1950,02,-0.68
1950,03,0.23
1950,04,-0.27
1950,05,0.1
1950,06,-0.24
1950,07,-0.37
1950,08,-0.29
1950,09,-0.13
1950,10,-0.17
1950,11,-1.67
1950,12,-0.76
1951,01,-1.18
1951,02,-2.58
1951,03,-0.41
1951,04,0.18
1951,05,0.32
1951,06,-0.24
1951,07,-0.04
1951,08,0.16
1951,09,0.56
1951,10,0.78
1951,11,0.22
1951,12,2.7
1952,01,0.8
1952,02,-0.23
1952,03,-0.99
1952,04,-0.42
1952,05,-0.13
1952,06,0.04
1952,07,0.3
1952,08,0.04
1952,09,0.45
1952,10,-0.73
1952,11,-2.42
1952,12,-1.48
1953,01,-0.03
1953,02,0.21
1953,03,0.91
1953,04,0.51
1953,05,0.42
1953,06,0.4
1953,07,0.4
1953,08,0.27
1953,09,0.23
1953,10,0.0
1953,11,-1.64
1953,12,0.65
1954,01,-0.88
1954,02,-1.3
1954,03,-0.91
1954,04,-0.09
1954,05,-0.7
1954,06,0.01
1954,07,0.07
1954,08,0.29
1954,09,0.27
1954,10,0.25
1954,11,0.19
1954,12,-1.37
1955,01,0.8
1955,02,0.09
1955,03,-1.15
1955,04,-1.1
1955,05,0.09
1955,06,0.19
1955,07,-0.28
1955,08,0.29
1955,09,0.05
1955,10,0.26
1955,11,0.4
1955,12,-0.35
1956,01,-0.99
1956,02,-1.2
1956,03,-0.74
1956,04,-0.48
1956,05,-0.31
1956,06,-0.2
1956,07,-0.21
1956,08,-0.3
1956,09,-0.42
1956,10,-0.24
1956,11,-0.62
1956,12,-0.41
1957,01,-0.18
1957,02,-1.29
1957,03,-1.37
1957,04,-0.75
1957,05,-0.09
1957,06,0.0
1957,07,-0.43
1957,08,-0.11
1957,09,0.21
1957,10,-0.21
1957,11,-0.06
1957,12,1.09
1958,01,0.56
1958,02,0.86
1958,03,-0.41
1958,04,-0.41
1958,05,-0.58
1958,06,-0.21
1958,07,-0.19
1958,08,-0.19
1958,09,-0.61
1958,10,-0.21
1958,11,0.22
1958,12,0.39
1959,01,0.57
1959,02,0.34
1959,03,1.23
1959,04,0.35
1959,05,-0.33
1959,06,0.13
1959,07,-0.33
1959,08,0.29
1959,09,0.5
1959,10,-0.16
1959,11,-0.94
1959,12,-1.11
1960,01,-0.39
1960,02,1.53
1960,03,-1.32
1960,04,-0.58
1960,05,-1.01
1960,06,0.19
1960,07,-0.25
1960,08,-0.17
1960,09,0.13
1960,10,-0.74
1960,11,-1.03
1960,12,0.73
1961,01,0.47
1961,02,0.9
1961,03,1.22
1961,04,0.34
1961,05,0.18
1961,06,-0.11
1961,07,0.06
1961,08,-0.02
1961,09,0.09
1961,10,-0.85
1961,11,0.14
1961,12,0.3
1962,01,1.29
1962,02,1.85
1962,03,0.97
1962,04,0.48
1962,05,0.52
1962,06,-0.32
1962,07,0.43
1962,08,-0.2
1962,09,-0.02
1962,10,-0.29
1962,11,-0.74
1962,12,0.58
1963,01,0.81
1963,02,2.18
1963,03,0.37
1963,04,-0.74
1963,05,-0.14
1963,06,-0.3
1963,07,0.09
1963,08,0.11
1963,09,0.21
1963,10,0.64
1963,11,1.09
1963,12,0.39
1964,01,0.07
1964,02,-1.51
1964,03,-0.26
1964,04,-0.93
1964,05,-0.22
1964,06,-0.25
1964,07,-0.14
1964,08,0.0
1964,09,-0.17
1964,10,-0.81
1964,11,0.18
1964,12,0.23
1965,01,0.44
1965,02,-0.45
1965,03,0.48
1965,04,-0.83
1965,05,-0.02
1965,06,-0.05
1965,07,-0.09
1965,08,-0.37
1965,09,0.07
1965,10,0.37
1965,11,-0.72
1965,12,-0.39
1966,01,0.3
1966,02,-0.14
1966,03,0.13
1966,04,-0.77
1966,05,-0.01
1966,06,0.08
1966,07,-0.08
1966,08,0.38
1966,09,0.26
1966,10,-0.28
1966,11,-0.38
1966,12,-1.58
1967,01,-0.55
1967,02,-0.49
1967,03,0.87
1967,04,0.57
1967,05,0.83
1967,06,-0.16
1967,07,0.15
1967,08,-0.07
1967,09,-0.54
1967,10,1.0
1967,11,-0.02
1967,12,0.24
1968,01,-0.41
1968,02,-0.41
1968,03,2.1
1968,04,0.09
1968,05,0.2
1968,06,-0.34
1968,07,-0.22
1968,08,-0.29
1968,09,-0.64
1968,10,-0.7
1968,11,-0.87
1968,12,-1.08
1969,01,-3.29
1969,02,-3.86
1969,03,-0.48
1969,04,-0.35
1969,05,-0.75
1969,06,-0.41
1969,07,0.06
1969,08,-0.49
1969,09,-0.41
1969,10,-0.15
1969,11,0.59
1969,12,0.21
1970,01,-0.23
1970,02,0.71
1970,03,-0.72
1970,04,0.46
1970,05,0.03
1970,06,-0.35
1970,07,0.08
1970,08,-0.19
1970,09,0.17
1970,10,-0.41
1970,11,0.0
1970,12,-0.19
1971,01,1.02
1971,02,-1.28
1971,03,-0.44
1971,04,-0.18
1971,05,-0.08
1971,06,-0.16
1971,07,-0.15
1971,08,-0.26
1971,09,0.26
1971,10,0.15
1971,11,1.89
1971,12,1.07
1972,01,-1.64
1972,02,-1.47
1972,03,0.1
1972,04,0.5
1972,05,-0.34
1972,06,-0.01
1972,07,-0.36
1972,08,-0.23
1972,09,-0.67
1972,10,-0.05
1972,11,-0.3
1972,12,0.52
1973,01,-0.32
1973,02,1.54
1973,03,0.81
1973,04,0.92
1973,05,0.12
1973,06,0.41
1973,07,-0.14
1973,08,0.04
1973,09,-0.17
1973,10,-0.37
1973,11,1.01
1973,12,1.15
1974,01,-1.06
1974,02,-1.52
1974,03,0.4
1974,04,0.57
1974,05,0.06
1974,06,-0.26
1974,07,0.3
1974,08,0.0
1974,09,0.34
1974,10,-0.27
1974,11,-0.54
1974,12,-0.95
1975,01,1.51
1975,02,0.42
1975,03,1.69
1975,04,1.16
1975,05,0.22
1975,06,0.31
1975,07,0.04
1975,08,-0.04
1975,09,0.67
1975,10,0.03
1975,11,-0.04
1975,12,0.5
1976,01,1.35
1976,02,-0.44
1976,03,-1.05
1976,04,0.07
1976,05,-0.11
1976,06,-0.3
1976,07,-0.53
1976,08,-0.25
1976,09,-0.06
1976,10,-1.7
1976,11,-1.13
1976,12,-0.68
1977,01,-2.45
1977,02,-1.04
1977,03,1.19
1977,04,0.96
1977,05,0.48
1977,06,0.73
1977,07,0.03
1977,08,-0.16
1977,09,0.16
1977,10,-0.69
1977,11,1.51
1977,12,0.4
1978,01,0.53
1978,02,-0.3
1978,03,0.79
1978,04,0.63
1978,05,-0.14
1978,06,-0.07
1978,07,-0.25
1978,08,-0.54
1978,09,0.15
1978,10,0.15
1978,11,1.45
1978,12,0.0
1979,01,-0.44
1979,02,0.97
1979,03,0.16
1979,04,-0.72
1979,05,0.31
1979,06,0.08
1979,07,-0.05
1979,08,-0.26
1979,09,0.13
1979,10,0.22
1979,11,0.07
1979,12,1.77
1980,01,-0.43
1980,02,-0.02
1980,03,-0.85
1980,04,-0.1
1980,05,0.28
1980,06,0.22
1980,07,0.09
1980,08,-0.16
1980,09,0.06
1980,10,0.14
1980,11,1.25
1980,12,1.57
1981,01,1.6
1981,02,1.21
1981,03,1.08
1981,04,0.94
1981,05,0.22
1981,06,0.53
1981,07,0.3
1981,08,0.37
1981,09,0.05
1981,10,-0.14
1981,11,-0.15
