year,month,temperature
1944,04,-0.95
1944,05,-1.32
1944,06,-0.41
1944,07,-0.26
1944,08,-0.01
1944,09,0.79
1944,10,-0.03
1944,11,0.8
1944,12,-0.3
1945,01,-0.32
1945,02,-0.43
1945,03,-0.46
1945,04,-0.02
1945,05,-0.17
1945,06,0.86
1945,07,-0.49
1945,08,0.98
1945,09,-0.16
1945,10,-0.8
1945,11,-0.46
1945,12,0.17
1946,01,0.05
1946,02,-0.85
1946,03,-1.12
1946,04,-1.33
1946,05,0.46
1946,06,-1.24
1946,07,0.19
1946,08,-0.08
1946,09,-0.34
1946,10,-0.85
1946,11,-0.09
1946,12,-0.03
1947,01,0.8
1947,02,0.08
1947,03,-0.23
1947,04,-0.83
1947,05,0.24
1947,06,0.44
1947,07,0.34
1947,08,-0.03
1947,09,-0.66
1947,10,-0.95
1947,11,-0.8
1947,12,-0.73
1948,01,-0.79
1948,02,0.28
1948,03,-0.8
1948,04,-0.65
1948,05,-0.6
1948,06,-0.56
1948,07,-0.23
1948,08,0.04
1948,09,-0.33
1948,10,-0.02
1948,11,-0.25
1948,12,-0.17
1949,01,-0.67
1949,02,-1.44
1949,03,-0.86
1949,04,-1.34
1949,05,-0.9
1949,06,-1.61
1949,07,-0.1
1949,08,-0.02
1949,09,-0.67
1949,10,-0.3
1949,11,-0.84
1949,12,0.0
1950,01,-0.33
1950,02,-0.67
1950,03,-0.66
1950,04,-0.4
1950,05,0.46
1950,06,-0.69
1950,07,-0.12
1950,08,-0.33
1950,09,0.12
1950,10,-0.91
1950,11,-0.59
1950,12,-0.42
1951,01,-0.44
1951,02,-0.14
1951,03,0.79
1951,04,-0.76
1951,05,-0.85
1951,06,0.24
1951,07,-0.22
1951,08,-1.07
1951,09,0.22
1951,10,-0.29
1951,11,0.29
1951,12,0.04
1952,01,0.4
1952,02,-0.08
1952,03,0.08
1952,04,-0.43
1952,05,-0.23
1952,06,-0.21
1952,07,-0.43
1952,08,-0.41
1952,09,-0.06
1952,10,-0.43
1952,11,-0.72
1952,12,-0.26
1953,01,-0.73
1953,02,-1.37
1953,03,0.77
1953,04,1.0
1953,05,-0.55
1953,06,0.06
1953,07,-0.06
1953,08,-1.09
1953,09,-0.54
1953,10,-0.06
1953,11,-0.31
1953,12,0.32
1954,01,-0.31
1954,02,-0.86
1954,03,0.25
1954,04,0.16
1954,05,-0.21
1954,06,-0.57
1954,07,0.21
1954,08,0.1
1954,09,-0.24
1954,10,-0.15
1954,11,-0.3
1954,12,-0.15
1955,01,-0.12
1955,02,0.21
1955,03,-0.29
1955,04,-0.22
1955,05,-0.87
1955,06,0.24
1955,07,-0.31
1955,08,0.62
1955,09,0.41
1955,10,-0.14
1955,11,-1.02
1955,12,-0.67
1956,01,-0.44
1956,02,0.26
1956,03,-0.35
1956,04,-0.27
1956,05,-0.46
1956,06,-0.89
1956,07,0.04
1956,08,-1.09
1956,09,-1.26
1956,10,-1.03
1956,11,-0.89
1956,12,-0.57
1957,01,-0.06
1957,02,-0.3
